id,name,defination,description
186,Motion Sensor_186,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_186,Motion Sensor_186 present in a substance or an object
187,Motion Sensor_187,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_187,Motion Sensor_187 present in a substance or an object
188,Pressure Sensor_188,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_188,Pressure Sensor_188 present in a substance or an object
189,Temperature Sensor_189,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_189,Temperature Sensor_189 present in a substance or an object
190,CO2 Sensor_190,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_190,CO2 Sensor_190 present in a substance or an object
191,Motion Sensor_191,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_191,Motion Sensor_191 present in a substance or an object
192,Temperature Sensor_192,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_192,Temperature Sensor_192 present in a substance or an object
193,Motion Sensor_193,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_193,Motion Sensor_193 present in a substance or an object
194,Humidity Sensor_194,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_194,Humidity Sensor_194 present in a substance or an object
195,Motion Sensor_195,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_195,Motion Sensor_195 present in a substance or an object
196,Motion Sensor_196,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_196,Motion Sensor_196 present in a substance or an object
197,Pressure Sensor_197,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_197,Pressure Sensor_197 present in a substance or an object
198,Pressure Sensor_198,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_198,Pressure Sensor_198 present in a substance or an object
199,Temperature Sensor_199,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_199,Temperature Sensor_199 present in a substance or an object
200,Temperature Sensor_200,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_200,Temperature Sensor_200 present in a substance or an object
